timestamp,product_name,supplier_id,warehouse_id,route_type,vehicle_gps_latitude,vehicle_gps_longitude,fuel_consumption_rate,traffic_congestion_level,weather_condition_severity,shipping_costs,lead_time_days,eta_variation_hours,route_risk_level,delay_probability,risk_classification,delivery_time_deviation
2023-01-01 00:00:00,Laptop,SUP001,WH004,Sea,36.489938,-105.467367,5.34,2,4,3972,6,2.44,6,0.36,High,5.87
2023-01-01 03:00:00,Milk,SUP003,WH001,Road,29.533578,-97.467701,8.08,5,10,1624,6,2.83,6,0.96,Low,-1.94
2023-01-01 06:00:00,Rice,SUP002,WH004,Air,45.203302,-113.284708,8.66,8,8,2824,4,3.87,8,0.55,Low,5.75
2023-01-01 09:00:00,Milk,SUP003,WH002,Sea,25.892958,-83.322769,8.13,2,1,4479,6,3.16,10,0.58,High,0.55
2023-01-01 12:00:00,Milk,SUP003,WH004,Sea,43.255917,-101.709068,6.12,10,5,1548,5,2.51,2,0.4,High,-1.87
2023-01-01 15:00:00,Rice,SUP002,WH002,Air,24.776673,-91.682137,7.83,3,8,4846,4,0.2,8,0.23,Medium,2.43
2023-01-01 18:00:00,Milk,SUP002,WH003,Air,34.090227,-97.267828,5.23,6,2,3882,6,3.17,5,0.83,Medium,4.94
2023-01-01 21:00:00,Laptop,SUP002,WH004,Sea,31.355556,-90.616059,9.49,2,9,2030,5,4.86,4,0.52,Medium,7.81
2023-01-02 00:00:00,Mobile Phone,SUP004,WH004,Sea,20.197931,-75.898288,7.2,4,2,3107,7,1.4,3,0.19,Medium,5.22
2023-01-02 03:00:00,Milk,SUP002,WH004,Air,41.60767,-95.924168,7.39,4,10,1660,7,4.17,1,0.24,Low,4.88
2023-01-02 06:00:00,Rice,SUP002,WH001,Sea,24.405953,-111.682932,9.61,9,7,3454,6,3.19,5,0.95,Low,3.39
2023-01-02 09:00:00,Paracetamol,SUP004,WH002,Road,44.910907,-89.958064,8.97,3,10,3701,6,1.32,6,0.92,High,5.09
2023-01-02 12:00:00,Rice,SUP004,WH004,Road,23.257103,-109.882573,9.3,9,7,4385,3,3.03,3,0.48,High,5.2
2023-01-02 15:00:00,Laptop,SUP001,WH001,Air,39.781778,-74.900762,7.7,1,7,3138,5,1.85,1,0.7,Medium,0.75
2023-01-02 18:00:00,Paracetamol,SUP004,WH003,Sea,44.138631,-74.607056,9.19,10,2,2742,3,1.27,4,0.91,Low,1.4
2023-01-02 21:00:00,Laptop,SUP004,WH003,Road,20.164084,-82.817716,5.04,9,2,3128,2,1.88,4,0.69,Medium,2.91
2023-01-03 00:00:00,Milk,SUP002,WH004,Sea,37.561106,-106.934855,7.68,10,6,3506,4,4.96,7,0.75,Medium,4.63
2023-01-03 03:00:00,Laptop,SUP004,WH002,Air,36.772815,-95.811992,9.94,10,6,4171,7,1.99,3,0.85,High,-0.57
2023-01-03 06:00:00,Rice,SUP004,WH002,Road,26.433744,-99.971955,6.69,9,10,3855,7,3.53,3,0.39,High,-1.94
2023-01-03 09:00:00,Milk,SUP002,WH004,Sea,33.061323,-116.795977,6.11,2,10,1154,7,1.92,7,0.61,High,1.44
2023-01-03 12:00:00,Laptop,SUP001,WH002,Sea,34.831051,-119.46448,9.25,9,5,1797,2,3.92,9,0.52,Low,5.38
2023-01-03 15:00:00,Milk,SUP003,WH002,Sea,20.008618,-112.127762,9.98,7,6,3742,5,2.03,4,0.52,High,6.44
2023-01-03 18:00:00,Milk,SUP003,WH003,Air,48.89863,-106.174608,8.03,4,8,4808,5,2.87,5,0.18,High,-0.72
2023-01-03 21:00:00,Milk,SUP003,WH003,Road,44.088267,-72.164533,9.38,10,5,3843,5,4.83,10,0.48,Low,7.09
2023-01-04 00:00:00,Paracetamol,SUP004,WH001,Air,23.488049,-116.622287,8.17,4,4,4277,4,2.06,6,0.52,Low,6.41
2023-01-04 03:00:00,Mobile Phone,SUP002,WH003,Road,31.967919,-82.560593,6.71,9,3,2951,4,1.77,10,0.27,High,6.2
2023-01-04 06:00:00,Rice,SUP004,WH002,Road,42.062872,-76.362875,6.03,4,4,4425,6,1.78,2,0.12,Low,6.11
2023-01-04 09:00:00,Paracetamol,SUP001,WH001,Air,31.135896,-104.229155,9.49,10,5,3010,3,4.92,9,0.28,Low,7.0
2023-01-04 12:00:00,Rice,SUP001,WH004,Air,48.189633,-118.371868,6.74,3,8,4999,2,3.49,8,0.32,Low,-1.86
2023-01-04 15:00:00,Rice,SUP004,WH001,Air,30.84807,-76.907899,5.94,5,4,2103,5,4.79,6,0.37,Medium,3.09
2023-01-04 18:00:00,Paracetamol,SUP003,WH003,Air,28.388886,-111.005539,5.66,10,4,4334,2,3.6,4,0.56,Medium,0.35
2023-01-04 21:00:00,Rice,SUP004,WH001,Road,32.64562,-113.276416,9.47,9,9,3951,4,3.93,5,0.25,High,-1.43
2023-01-05 00:00:00,Milk,SUP002,WH001,Road,44.414542,-96.173029,8.15,8,6,2064,4,1.8,9,0.93,Medium,2.13
2023-01-05 03:00:00,Paracetamol,SUP001,WH003,Sea,48.893497,-110.052094,7.88,9,3,4196,4,1.78,9,0.49,High,3.36
2023-01-05 06:00:00,Milk,SUP004,WH003,Air,38.951366,-112.757583,5.84,6,7,3585,6,2.86,2,0.08,Medium,0.74
2023-01-05 09:00:00,Mobile Phone,SUP003,WH003,Sea,39.339329,-106.437595,7.22,6,10,3133,5,2.07,3,0.85,Low,6.73
2023-01-05 12:00:00,Mobile Phone,SUP001,WH002,Road,31.911367,-115.222314,9.68,8,9,1220,2,3.85,9,0.76,Low,-0.75
2023-01-05 15:00:00,Laptop,SUP002,WH001,Sea,47.947687,-100.50769,6.15,5,8,3566,3,0.66,3,0.03,High,2.28
2023-01-05 18:00:00,Mobile Phone,SUP004,WH004,Sea,48.045727,-92.572736,5.68,9,3,3420,6,2.28,10,0.43,High,5.67
2023-01-05 21:00:00,Mobile Phone,SUP003,WH004,Sea,26.813853,-115.522299,6.54,7,5,1637,4,0.05,9,0.82,Low,2.13
2023-01-06 00:00:00,Paracetamol,SUP001,WH004,Air,28.988316,-81.70654,8.99,10,4,4263,2,2.74,4,0.41,High,3.25
2023-01-06 03:00:00,Rice,SUP002,WH004,Air,26.617773,-116.039513,8.13,9,10,4307,7,3.42,5,0.65,High,7.71
2023-01-06 06:00:00,Paracetamol,SUP002,WH001,Road,24.098721,-114.482182,7.28,8,5,3869,6,2.46,6,0.02,Low,9.64
2023-01-06 09:00:00,Milk,SUP002,WH001,Air,28.075854,-84.240203,8.64,4,2,1617,2,2.47,6,0.42,Medium,9.98
2023-01-06 12:00:00,Paracetamol,SUP001,WH003,Road,45.306389,-72.417798,5.28,7,2,3224,5,0.91,5,0.82,Low,-0.54
2023-01-06 15:00:00,Rice,SUP004,WH004,Road,42.12857,-118.324485,7.3,2,9,3727,3,2.36,5,0.94,Low,5.55
2023-01-06 18:00:00,Milk,SUP001,WH003,Air,39.1556,-110.063818,9.44,4,2,1966,7,2.17,1,0.17,Medium,5.02
2023-01-06 21:00:00,Paracetamol,SUP002,WH001,Road,37.432311,-85.462429,8.44,3,6,4157,2,1.24,8,0.09,High,2.06
2023-01-07 00:00:00,Milk,SUP001,WH003,Sea,24.617553,-93.182334,5.54,8,4,2297,6,3.94,6,0.81,Medium,6.8
2023-01-07 03:00:00,Milk,SUP004,WH003,Sea,24.041965,-75.066848,7.43,8,9,2207,6,3.49,4,0.57,High,2.17
2023-01-07 06:00:00,Paracetamol,SUP003,WH002,Road,35.934123,-97.53079,9.1,9,6,2859,2,3.88,9,0.38,Low,8.6
2023-01-07 09:00:00,Laptop,SUP003,WH002,Air,41.630107,-87.085529,7.69,7,4,3146,7,2.49,9,0.15,Medium,1.87
2023-01-07 12:00:00,Mobile Phone,SUP001,WH001,Sea,39.766731,-117.811137,9.69,3,1,1827,2,2.43,2,0.03,High,8.04
2023-01-07 15:00:00,Paracetamol,SUP003,WH001,Air,26.621684,-84.10774,5.07,4,8,4802,2,2.34,1,0.36,High,9.26
2023-01-07 18:00:00,Paracetamol,SUP003,WH001,Sea,27.974469,-117.967342,5.35,5,2,4869,3,4.8,2,0.1,Low,4.38
2023-01-07 21:00:00,Rice,SUP002,WH002,Sea,38.759752,-111.055105,8.75,7,2,4138,7,2.88,8,0.7,Medium,8.59
